Title,Max Players,Multiplatform?,Online?,Genres,Publisher,Review Score,Sales,Console,Rating,Year
Super Mario 64 DS,1,True,True,Action,Nintendo,85,4.69,Nintendo DS,E,2004
Lumines: Puzzle Fusion,1,True,True,Strategy,Ubisoft,89,0.56,Sony PSP,E,2004
WarioWare Touched!,2,True,True,"Action,Racing / Driving,Sports",Nintendo,81,0.54,Nintendo DS,E,2004
Hot Shots Golf: Open Tee,1,True,True,Sports,Sony,81,0.49,Sony PSP,E,2004
Spider-Man 2,1,True,True,Action,Activision,61,0.45,Nintendo DS,E,2004
The Urbz: Sims in the City,1,True,True,Simulation,EA,67,0.41,Nintendo DS,M,2004
Ridge Racer,1,True,True,Racing / Driving,Namco,88,0.36,Sony PSP,E,2004
Metal Gear Ac!d,1,True,True,Strategy,Konami,75,0.34,Sony PSP,E,2004
Madden NFL 2005,1,True,True,Sports,EA,68,0.25,Nintendo DS,T,2004
Pokmon Dash,1,True,True,Racing / Driving,Nintendo,46,0.22,Nintendo DS,T,2004
Dynasty Warriors,1,True,True,"Action,Adventure,Role-Playing (RPG)",,62,0.2,Sony PSP,E,2004
Feel the Magic XY/XX,1,True,True,"Action,Adventure,Racing / Driving,Sports",Sega,75,0.16,Nintendo DS,T,2004
Ridge Racer DS,1,True,True,Racing / Driving,Namco,63,0.15,Nintendo DS,E,2004
Darkstalkers Chronicle: The Chaos Tower,1,True,True,Action,Capcom,74,0.14,Sony PSP,E,2004
Ape Escape Academy,4,True,True,"Action,Sports",Sony,51,0.13,Sony PSP,E,2004
Polarium,1,True,True,Strategy,Nintendo,73,0.12,Nintendo DS,E,2004
Asphalt: Urban GT,1,True,True,"Racing / Driving,Simulation",Ubisoft,60,0.11,Nintendo DS,E,2004
Zoo Keeper,1,True,True,Action,,74,0.1,Nintendo DS,T,2004
Mr. DRILLER: Drill Spirits,1,True,True,Action,Namco,72,0.09,Nintendo DS,T,2004
Sprung,1,True,True,Adventure,Ubisoft,48,0.06,Nintendo DS,E,2004
Armored Core: Formula Front - Extreme Battle,1,True,True,"Action,Strategy",,66,0.05,Sony PSP,E,2004
Puyo Pop Fever,1,True,True,"Action,Strategy",Sega,76,0.04,Nintendo DS,E,2004
Mario Kart DS,1,True,True,Racing / Driving,Nintendo,91,9.99,Nintendo DS,E,2005
Nintendogs,1,True,True,Simulation,Nintendo,83,9.72,Nintendo DS,E,2005
Brain Age: Train Your Brain in Minutes a Day!,1,True,True,Action,Nintendo,77,5.07,Nintendo DS,M,2005
